Season,Mumbai Indians,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2009,Abhishek Nayar,110.5,13,4,27,14,7,4,0
2009,Abu Nechim Ahmed,,,,,,,,
2009,Ajinkya Rahane,48.5,8,1,2,12,3,1,0
2009,Chentanya Nanda,20,3,2,13,0,0,0,0
2009,Dhawal Kulkarni,85,8,5,65,0,0,1,0
2009,Dilhara Fernando,,,,,,,,
2009,Dwayne Bravo,212.5,11,11,91,15,8,7,0
2009,Graham Napier,14,1,1,8,1,0,0,0
2009,Harbhajan Singh,187,13,12,105,6,5,3,0
2009,JP Duminy,171.5,13,4,44,26,11,4,0
2009,Jaydev Shah,,,,,,,,
2009,Kyle Mills,,,,,,,,
2009,Lasith Malinga,212,13,18,144,0,0,2,0
2009,Luke Ronchi,2.5,1,0,0,0,0,1,0
2009,Mohammad Ashraful,5,1,0,0,0,0,2,0
2009,Pinal Shah,37,9,0,0,4,2,6,2
2009,Rahil Shaikh,1,1,0,1,0,0,0,0
2009,Rohan Raje,23,4,1,11,0,1,2,0
2009,Ryan McLaren,,,,,,,,
2009,Sachin Tendulkar,151.5,13,0,4,39,10,6,0
2009,Sanath Jayasuriya,140.5,12,7,29,23,7,2,0
2009,Saurabh Tiwary,0,4,0,0,0,0,0,0
2009,Shikhar Dhawan,12.5,5,0,0,3,0,2,0
2009,Yogesh Takawale,,,,,,,,
2009,Zaheer Khan,77,6,6,51,0,0,2,0